,country,country_code,2023,cluster
0,Aruba,ABW,16.3690434830945,0
1,Albania,ALB,16.3020000675759,0
2,Andorra,AND,15.4181507865836,0
3,Belarus,BLR,17.0619745317958,0
4,Bermuda,BMU,20.9117747071007,0
5,Barbados,BRB,16.093413521478,0
6,Canada,CAN,19.3581192161771,0
7,Central Europe and the Baltics,CEB,20.1122124942261,0
8,Switzerland,CHE,19.6113808360035,0
9,Channel Islands,CHI,19.6643837046004,0
10,Germany,DEU,22.7900439454493,0
11,Denmark,DNK,20.6001829312424,0
12,Europe & Central Asia,ECS,17.7452655756107,0
13,Czechia,CZE,20.5459005583495,0
14,Cuba,CUB,16.1955286378621,0
15,Ukraine,UKR,18.5575345907943,0
16,Euro area,EMU,22.0298982908352,0
17,Curacao,CUW,16.2818791222422,0
18,Slovak Republic,SVK,18.0508365765507,0
19,Spain,ESP,20.6537075238774,0
20,Sweden,SWE,20.5364235623884,0
21,European Union,EUU,21.6127394944582,0
22,Slovenia,SVN,21.3323429613727,0
23,Estonia,EST,20.9140825455897,0
24,High income,HIC,19.2344336858859,0
25,Greece,GRC,23.4829980176041,0
26,Gibraltar,GIB,17.4705293666576,0
27,United Kingdom,GBR,19.238129106618,0
28,Georgia,GEO,15.317458316393,0
29,Faroe Islands,FRO,17.7259725661857,0
30,France,FRA,21.7491423914771,0
31,Finland,FIN,23.5778747195571,0
32,Iceland,ISL,15.3483031550157,0
33,Italy,ITA,24.2187831541913,0
34,Japan,JPN,29.5618100807812,0
35,"Hong Kong SAR, China",HKG,21.6452568609024,0
36,Isle of Man,IMN,22.7129881008252,0
37,Ireland,IRL,15.5417068369309,0
38,Hungary,HUN,20.819084281895,0
39,Croatia,HRV,22.815365461733,0
40,San Marino,SMR,21.6823538130883,0
41,Serbia,SRB,22.3383596618497,0
42,Liechtenstein,LIE,20.1626344764887,0
43,Russian Federation,RUS,16.6046427349856,0
44,"Korea, Rep.",KOR,18.3350235838597,0
45,Austria,AUT,20.1640196753077,0
46,New Zealand,NZL,16.7985801212333,0
47,Bulgaria,BGR,21.8324383446666,0
48,Norway,NOR,18.5338475896816,0
49,Netherlands,NLD,20.1567559021407,0
50,Post-demographic dividend,PST,20.6240043193214,0
51,Romania,ROU,19.7531409207066,0
52,North America,NAC,17.6383514194549,0
53,Montenegro,MNE,17.4661274844054,0
54,Malta,MLT,19.800039778143,0
55,North Macedonia,MKD,17.5017325840163,0
56,Poland,POL,19.5609114692528,0
57,Puerto Rico,PRI,24.2437244035166,0
58,Portugal,PRT,24.1115106141099,0
59,Moldova,MDA,15.6147071961188,0
60,Monaco,MCO,36.3572189493409,0
61,St. Martin (French part),MAF,17.2036562539752,0
62,Latvia,LVA,21.3320948408305,0
63,Lithuania,LTU,19.8561787800633,0
64,Bosnia and Herzegovina,BIH,21.642423894209,0
65,Uruguay,URY,15.8128179067764,0
66,United States,USA,17.4318194823539,0
67,Virgin Islands (U.S.),VIR,22.2436144269028,0
68,Australia,AUS,17.384024966198,0
69,Belgium,BEL,20.1452749547016,0
70,OECD members,OED,18.2481199231903,0
71,"Egypt, Arab Rep.",EGY,4.96968538776552,1
72,Fragile and conflict affected situations,FCS,4.01137123763497,1
73,Togo,TGO,3.16375561398111,1
74,Chad,TCD,2.07477443006556,1
75,Syrian Arab Republic,SYR,4.68683691195235,1
76,Eswatini,SWZ,4.14687128709653,1
77,Djibouti,DJI,4.73574810907906,1
78,Algeria,DZA,6.37685866623239,1
79,Early-demographic dividend,EAR,6.43617534820753,1
80,Cameroon,CMR,2.77483940805466,1
81,Cabo Verde,CPV,6.57945496194459,1
82,Bolivia,BOL,5.55046673477261,1
83,Belize,BLZ,4.84133634796907,1
84,Botswana,BWA,3.96966911931465,1
85,Guinea,GIN,3.44105793716664,1
86,Honduras,HND,4.29272330819849,1
87,Guyana,GUY,6.47955534741206,1
88,Guatemala,GTM,4.734740380431,1
89,Equatorial Guinea,GNQ,3.62342216634038,1
90,Guinea-Bissau,GNB,3.14256138954433,1
91,"Gambia, The",GMB,2.97785770163636,1
92,Ghana,GHA,3.6318149146467,1
93,Gabon,GAB,4.04183293668656,1
94,"Micronesia, Fed. Sts.",FSM,5.73112966736364,1
95,Fiji,FJI,6.34304879480558,1
96,Iraq,IRQ,3.39670394377039,1
97,India,IND,6.92184330138637,1
98,Indonesia,IDN,7.04854077766648,1
99,IDA only,IDX,3.93276736015902,1
100,IDA blend,IDB,3.65938416820392,1
101,IDA total,IDA,3.84195953089198,1
102,Ethiopia,ETH,3.17131039041743,1
103,Sao Tome and Principe,STP,3.86730280697271,1
104,Eritrea,ERI,4.15096057661539,1
105,Comoros,COM,4.47290468927676,1
106,"Congo, Rep.",COG,2.91461025071629,1
107,"Congo, Dem. Rep.",COD,3.06835640281401,1
108,Cote d'Ivoire,CIV,2.56824227080234,1
109,Turkmenistan,TKM,4.27238303859711,1
110,Central African Republic,CAF,2.09527735556521,1
111,Tajikistan,TJK,3.65005635094848,1
112,Uganda,UGA,2.15058279399148,1
113,Tanzania,TZA,3.04319999848689,1
114,Tuvalu,TUV,6.27578829402476,1
115,Sub-Saharan Africa (IDA & IBRD countries),TSS,3.15537782092455,1
116,South Asia (IDA & IBRD),TSA,6.47174539832306,1
117,Tonga,TON,6.60245225746313,1
118,Middle East & North Africa (IDA & IBRD countries),TMN,5.7420995428796,1
119,Timor-Leste,TLS,5.33415782576722,1
120,Bhutan,BTN,6.36869980988956,1
121,Brunei Darussalam,BRN,6.51107912979343,1
122,Afghanistan,AFG,2.37753752819851,1
123,United Arab Emirates,ARE,1.69563170962521,1
124,Arab World,ARB,4.51953659979043,1
125,Angola,AGO,2.81144936806097,1
126,Africa Western and Central,AFW,2.96224838411953,1
127,Africa Eastern and Southern,AFE,3.28646292312111,1
128,Lesotho,LSO,3.82680387216458,1
129,Lower middle income,LMC,5.81620763497896,1
130,Low income,LIC,3.23605389248802,1
131,Least developed countries: UN classification,LDC,3.74928891865859,1
132,Liberia,LBR,3.2775620599993,1
133,Libya,LBY,4.8781294062589,1
134,Lao PDR,LAO,4.53547084357878,1
135,Kuwait,KWT,2.95275783789783,1
136,South Sudan,SSD,2.91238881534295,1
137,Kiribati,KIR,4.11829729760319,1
138,Cambodia,KHM,5.96118643031327,1
139,Kyrgyz Republic,KGZ,5.42703271096246,1
140,Sub-Saharan Africa (excluding high income),SSA,3.15488575622348,1
141,Sub-Saharan Africa,SSF,3.15537782092455,1
142,Sierra Leone,SLE,3.20667945391485,1
143,Somalia,SOM,2.56456709833503,1
144,Kenya,KEN,2.91330784287267,1
145,Jordan,JOR,4.32230327723143,1
146,Senegal,SEN,3.5903878360666,1
147,Solomon Islands,SLB,3.62653756755422,1
148,Sudan,SDN,3.21166042888835,1
149,Saudi Arabia,SAU,2.81950386919403,1
150,Rwanda,RWA,3.82185022198798,1
151,South Asia,SAS,6.47174539832306,1
152,Haiti,HTI,4.61815413470631,1
153,Heavily indebted poor countries (HIPC),HPC,3.00075876541178,1
154,Papua New Guinea,PNG,3.34830819369497,1
155,Pre-demographic dividend,PRE,2.8874552635422,1
156,West Bank and Gaza,PSE,3.80247435781418,1
157,Paraguay,PRY,6.36927529015307,1
158,Middle East & North Africa,MEA,5.50549341425855,1
159,Maldives,MDV,4.34510659817412,1
160,Malawi,MWI,2.59256771636073,1
161,Mauritania,MRT,3.21532864046301,1
162,Mozambique,MOZ,2.76676995144367,1
163,Mongolia,MNG,4.8636009012415,1
164,Myanmar,MMR,7.08914980516562,1
165,Middle East & North Africa (excluding high income),MNA,5.71933368693271,1
166,Marshall Islands,MHL,4.38225976768743,1
167,Mali,MLI,2.40531546645959,1
168,Pacific island small states,PSS,5.09019948173859,1
169,Qatar,QAT,1.57209502793142,1
170,Madagascar,MDG,3.33516236451659,1
171,Philippines,PHL,5.26217156111322,1
172,Nauru,NRU,2.67789473684211,1
173,Nepal,NPL,6.36058770858938,1
174,Nigeria,NGA,3.02816298955589,1
175,Namibia,NAM,3.57118148422511,1
176,Burundi,BDI,2.51029451549531,1
177,Pakistan,PAK,4.19627145721884,1
178,Oman,OMN,2.66044451186895,1
179,Niger,NER,2.57103562491354,1
180,Nicaragua,NIC,5.37928367274053,1
181,Bangladesh,BGD,6.32054805417649,1
182,Benin,BEN,3.08788133145022,1
183,Burkina Faso,BFA,2.62071297835956,1
184,Bahrain,BHR,3.63800440284889,1
185,Uzbekistan,UZB,5.69504099692623,1
186,Vanuatu,VUT,4.21820894264665,1
187,Samoa,WSM,5.70563501843877,1
188,"Yemen, Rep.",YEM,2.50752339397838,1
189,South Africa,ZAF,6.51509367622564,1
190,Zambia,ZMB,1.89885236729554,1
191,Zimbabwe,ZWE,3.61832175940481,1
192,Kosovo,XKX,9.64385638963536,2
193,World,WLD,9.97876530712741,2
194,Viet Nam,VNM,8.62116598619573,2
195,British Virgin Islands,VGB,9.20225727844043,2
196,"Venezuela, RB",VEN,9.33356816723623,2
197,St. Vincent and the Grenadines,VCT,11.5630782896198,2
198,"Bahamas, The",BHS,11.4979577684286,2
199,Azerbaijan,AZE,8.01054873196477,2
200,Antigua and Barbuda,ATG,11.2387545477439,2
201,American Samoa,ASM,7.5503461627491,2
202,Armenia,ARM,13.2110458915952,2
203,Argentina,ARG,12.2030217969226,2
204,Panama,PAN,9.05673529338545,2
205,Other small states,OSS,9.42399174788335,2
206,New Caledonia,NCL,11.0903354785516,2
207,Malaysia,MYS,7.45117376160733,2
208,Mauritius,MUS,12.9415870752551,2
209,Northern Mariana Islands,MNP,8.73335843873912,2
210,Middle income,MIC,8.6257574952716,2
211,Mexico,MEX,7.98664578990007,2
212,French Polynesia,PYF,10.7255481229446,2
213,"Korea, Dem. People's Rep.",PRK,12.0285977805304,2
214,Palau,PLW,10.8503737131575,2
215,Peru,PER,8.99256615708912,2
216,Morocco,MAR,7.82574109038898,2
217,"Macao SAR, China",MAC,13.479471895326,2
218,Luxembourg,LUX,15.1061948765445,2
219,Late-demographic dividend,LTE,13.4039991483519,2
220,Low & middle income,LMY,8.02734501583443,2
221,Sri Lanka,LKA,11.7387099915518,2
222,Latin America & Caribbean,LCN,9.52868258443592,2
223,St. Lucia,LCA,9.29807094310997,2
224,Lebanon,LBN,9.8244260298251,2
225,Latin America & Caribbean (excluding high income),LAC,9.27717252527306,2
226,St. Kitts and Nevis,KNA,10.6965652936396,2
227,El Salvador,SLV,8.00031824400313,2
228,Singapore,SGP,13.0953667239036,2
229,Kazakhstan,KAZ,8.30816704134912,2
230,Jamaica,JAM,7.86217693868482,2
231,Israel,ISR,12.4157088880088,2
232,"Iran, Islamic Rep.",IRN,7.91608360551928,2
233,IDA & IBRD total,IBT,8.32453917649719,2
234,IBRD only,IBD,10.0500082962494,2
235,Guam,GUM,12.1169443835526,2
236,Greenland,GRL,10.1193616165229,2
237,Grenada,GRD,11.8704144993637,2
238,Thailand,THA,14.7182560815403,2
239,Europe & Central Asia (IDA & IBRD countries),TEC,14.026737702631,2
240,East Asia & Pacific (IDA & IBRD countries),TEA,12.1071107839636,2
241,Turks and Caicos Islands,TCA,10.8987402052037,2
242,Seychelles,SYC,8.33095611193391,2
243,Sint Maarten (Dutch part),SXM,13.4470981777352,2
244,Suriname,SUR,7.62149260756322,2
245,Small states,SST,8.75924289260956,2
246,Ecuador,ECU,8.09288255232192,2
247,Europe & Central Asia (excluding high income),ECA,10.9474691038969,2
248,East Asia & Pacific,EAS,13.3145132360998,2
249,East Asia & Pacific (excluding high income),EAP,12.1062032297019,2
250,Dominican Republic,DOM,7.58086111388,2
251,Dominica,DMA,12.7438524744213,2
252,Cyprus,CYP,14.3232720596026,2
253,Cayman Islands,CYM,8.54144417974205,2
254,Caribbean small states,CSS,8.8501489184775,2
255,Costa Rica,CRI,11.7188426539051,2
256,Colombia,COL,9.37542803553496,2
257,Upper middle income,UMC,11.6975389625819,2
258,Turkiye,TUR,10.0010276668343,2
259,Tunisia,TUN,9.16627453571107,2
260,Trinidad and Tobago,TTO,11.8539588437937,2
261,Latin America & the Caribbean (IDA & IBRD countries),TLA,9.33433148858386,2
262,China,CHN,14.3160774690688,2
263,Chile,CHL,13.6933190598527,2
264,Brazil,BRA,10.6336314676644,2
